,Event Type,Event ID,Event Time (UTC),Duration (s),Extra Data
0,Eclipse,Exit,2024-11-06 05:51:11.553002000,0.0,{'Start Time': 0.0}
1,GS_pass,AOS,2024-11-06 05:53:31.357457462,302.1196051979469,"{'TCA': '2024-11-06T05:56:02.617551970', 'MAX_EL': 8.056425594697455, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT01', 'LOS': '2024-11-06T05:58:33.477062660'}"
2,GS_pass,LOS,2024-11-06 05:58:33.477062660,302.1196051979469,"{'TCA': '2024-11-06T05:56:02.617551970', 'MAX_EL': 8.056425594697455, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT01', 'AOS': None}"
3,GS_pass,AOS,2024-11-06 06:12:13.932837288,360.6719029283677,"{'TCA': '2024-11-06T06:15:14.006888334', 'MAX_EL': 10.154349836399039, 'GS_NAME': 'CLN01', 'Pass_ID': 'CLN0101', 'LOS': '2024-11-06T06:18:14.604740217'}"
4,GS_pass,LOS,2024-11-06 06:18:14.604740217,360.6719029283677,"{'TCA': '2024-11-06T06:15:14.006888334', 'MAX_EL': 10.154349836399039, 'GS_NAME': 'CLN01', 'Pass_ID': 'CLN0101', 'AOS': None}"
5,Eclipse,Entry,2024-11-06 06:52:56.749835000,2079.644179272472,"{'End Time': datetime.datetime(2024, 11, 6, 7, 27, 36, 394014)}"
6,Eclipse,Exit,2024-11-06 07:27:36.394014000,2079.644179272472,"{'Start Time': datetime.datetime(2024, 11, 6, 6, 52, 56, 749835)}"
7,GS_pass,AOS,2024-11-06 07:29:29.146242900,460.4426300262183,"{'TCA': '2024-11-06T07:33:19.837859314', 'MAX_EL': 14.38448185550329, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT02', 'LOS': '2024-11-06T07:37:09.588872926'}"
8,GS_pass,LOS,2024-11-06 07:37:09.588872926,460.4426300262183,"{'TCA': '2024-11-06T07:33:19.837859314', 'MAX_EL': 14.38448185550329, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT02', 'AOS': None}"
9,Eclipse,Entry,2024-11-06 08:29:21.546352000,2079.637695182687,"{'End Time': datetime.datetime(2024, 11, 6, 9, 4, 1, 184047)}"
10,Eclipse,Exit,2024-11-06 09:04:01.184047000,2079.637695182687,"{'Start Time': datetime.datetime(2024, 11, 6, 8, 29, 21, 546352)}"
11,GS_pass,AOS,2024-11-06 09:05:23.587204582,560.9814557980194,"{'TCA': '2024-11-06T09:10:04.881616544', 'MAX_EL': 26.649990060828475, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT03', 'LOS': '2024-11-06T09:14:44.568660380'}"
12,GS_pass,LOS,2024-11-06 09:14:44.568660380,560.9814557980194,"{'TCA': '2024-11-06T09:10:04.881616544', 'MAX_EL': 26.649990060828475, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT03', 'AOS': None}"
13,GS_pass,AOS,2024-11-06 10:04:44.597009051,264.66354003625435,"{'TCA': '2024-11-06T10:06:57.325353783', 'MAX_EL': 7.261492973044117, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0101', 'LOS': '2024-11-06T10:09:09.260549087'}"
14,Eclipse,Entry,2024-11-06 10:05:46.313756000,2079.628539380669,"{'End Time': datetime.datetime(2024, 11, 6, 10, 40, 25, 942296)}"
15,GS_pass,LOS,2024-11-06 10:09:09.260549087,264.66354003625435,"{'TCA': '2024-11-06T10:06:57.325353783', 'MAX_EL': 7.261492973044117, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0101', 'AOS': None}"
16,Eclipse,Exit,2024-11-06 10:40:25.942296000,2079.628539380669,"{'Start Time': datetime.datetime(2024, 11, 6, 10, 5, 46, 313756)}"
17,GS_pass,AOS,2024-11-06 10:41:11.601061393,608.2816228923185,"{'TCA': '2024-11-06T10:46:16.725684285', 'MAX_EL': 52.28500862342752, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT04', 'LOS': '2024-11-06T10:51:19.882684285'}"
18,GS_pass,LOS,2024-11-06 10:51:19.882684285,608.2816228923185,"{'TCA': '2024-11-06T10:46:16.725684285', 'MAX_EL': 52.28500862342752, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT04', 'AOS': None}"
19,GS_pass,AOS,2024-11-06 11:37:52.742784057,621.1483393418365,"{'TCA': '2024-11-06T11:43:05.645557976', 'MAX_EL': 75.83840149478908, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0102', 'LOS': '2024-11-06T11:48:13.891123399'}"
20,Eclipse,Entry,2024-11-06 11:42:11.040650000,2079.637310499298,"{'End Time': datetime.datetime(2024, 11, 6, 12, 16, 50, 677961)}"
21,GS_pass,LOS,2024-11-06 11:48:13.891123399,621.1483393418365,"{'TCA': '2024-11-06T11:43:05.645557976', 'MAX_EL': 75.83840149478908, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0102', 'AOS': None}"
22,GS_pass,AOS,2024-11-06 12:16:50.001079698,616.383561761783,"{'TCA': '2024-11-06T12:21:59.001359858', 'MAX_EL': 85.00065789373916, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT05', 'LOS': '2024-11-06T12:27:06.384641460'}"
23,Eclipse,Exit,2024-11-06 12:16:50.677961000,2079.637310499298,"{'Start Time': datetime.datetime(2024, 11, 6, 11, 42, 11, 40650)}"
24,GS_pass,LOS,2024-11-06 12:27:06.384641460,616.383561761783,"{'TCA': '2024-11-06T12:21:59.001359858', 'MAX_EL': 85.00065789373916, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT05', 'AOS': None}"
25,GS_pass,AOS,2024-11-06 12:28:41.914356894,609.1497051066725,"{'TCA': '2024-11-06T12:33:48.006975549', 'MAX_EL': 86.82649940658227, 'GS_NAME': 'AZORES01', 'Pass_ID': 'AZORES0101', 'LOS': '2024-11-06T12:38:51.064062001'}"
26,GS_pass,LOS,2024-11-06 12:38:51.064062001,609.1497051066725,"{'TCA': '2024-11-06T12:33:48.006975549', 'MAX_EL': 86.82649940658227, 'GS_NAME': 'AZORES01', 'Pass_ID': 'AZORES0101', 'AOS': None}"
27,GS_pass,AOS,2024-11-06 13:14:19.310719551,427.5722474677962,"{'TCA': '2024-11-06T13:17:53.600336199', 'MAX_EL': 12.945948958756828, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0103', 'LOS': '2024-11-06T13:21:26.882967019'}"
28,Eclipse,Entry,2024-11-06 13:18:35.785271000,2079.6656608739722,"{'End Time': datetime.datetime(2024, 11, 6, 13, 53, 15, 450932)}"
29,GS_pass,LOS,2024-11-06 13:21:26.882967019,427.5722474677962,"{'TCA': '2024-11-06T13:17:53.600336199', 'MAX_EL': 12.945948958756828, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0103', 'AOS': None}"
30,GS_pass,AOS,2024-11-06 13:52:15.124981904,606.8513051207885,"{'TCA': '2024-11-06T13:57:19.132574448', 'MAX_EL': 56.52733220183054, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT06', 'LOS': '2024-11-06T14:02:21.976287025'}"
31,Eclipse,Exit,2024-11-06 13:53:15.450932000,2079.6656608739722,"{'Start Time': datetime.datetime(2024, 11, 6, 13, 18, 35, 785271)}"
32,GS_pass,LOS,2024-11-06 14:02:21.976287025,606.8513051207885,"{'TCA': '2024-11-06T13:57:19.132574448', 'MAX_EL': 56.52733220183054, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT06', 'AOS': None}"
33,GS_pass,AOS,2024-11-06 14:06:33.350319333,228.2092972221393,"{'TCA': '2024-11-06T14:08:27.523017041', 'MAX_EL': 6.7954030329042405, 'GS_NAME': 'AZORES01', 'Pass_ID': 'AZORES0102', 'LOS': '2024-11-06T14:10:21.559616556'}"
34,GS_pass,LOS,2024-11-06 14:10:21.559616556,228.2092972221393,"{'TCA': '2024-11-06T14:08:27.523017041', 'MAX_EL': 6.7954030329042405, 'GS_NAME': 'AZORES01', 'Pass_ID': 'AZORES0102', 'AOS': None}"
35,Eclipse,Entry,2024-11-06 14:55:00.598624000,2079.661827071341,"{'End Time': datetime.datetime(2024, 11, 6, 15, 29, 40, 260451)}"
36,GS_pass,AOS,2024-11-06 15:27:26.632404737,601.0477910923248,"{'TCA': '2024-11-06T15:32:27.493130237', 'MAX_EL': 49.137178917352415, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT07', 'LOS': '2024-11-06T15:37:27.680195829'}"
37,Eclipse,Exit,2024-11-06 15:29:40.260451000,2079.661827071341,"{'Start Time': datetime.datetime(2024, 11, 6, 14, 55, 0, 598624)}"
38,GS_pass,LOS,2024-11-06 15:37:27.680195829,601.0477910923248,"{'TCA': '2024-11-06T15:32:27.493130237', 'MAX_EL': 49.137178917352415, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT07', 'AOS': None}"
39,Eclipse,Entry,2024-11-06 16:31:25.485648000,2079.638399707314,"{'End Time': datetime.datetime(2024, 11, 6, 17, 6, 5, 124047)}"
40,GS_pass,AOS,2024-11-06 16:42:02.301531562,595.9056036901662,"{'TCA': '2024-11-06T16:47:00.721600629', 'MAX_EL': 47.48188582116817, 'GS_NAME': 'CLN01', 'Pass_ID': 'CLN0102', 'LOS': '2024-11-06T16:51:58.207135252'}"
41,GS_pass,LOS,2024-11-06 16:51:58.207135252,595.9056036901662,"{'TCA': '2024-11-06T16:47:00.721600629', 'MAX_EL': 47.48188582116817, 'GS_NAME': 'CLN01', 'Pass_ID': 'CLN0102', 'AOS': None}"
42,GS_pass,AOS,2024-11-06 17:02:32.178608102,607.9997366016213,"{'TCA': '2024-11-06T17:07:36.285007344', 'MAX_EL': 57.489735832195265, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT08', 'LOS': '2024-11-06T17:12:40.178344703'}"
43,Eclipse,Exit,2024-11-06 17:06:05.124047000,2079.638399707314,"{'Start Time': datetime.datetime(2024, 11, 6, 16, 31, 25, 485648)}"
44,GS_pass,LOS,2024-11-06 17:12:40.178344703,607.9997366016213,"{'TCA': '2024-11-06T17:07:36.285007344', 'MAX_EL': 57.489735832195265, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT08', 'AOS': None}"
45,Eclipse,Entry,2024-11-06 18:07:50.367898000,2079.618765276105,"{'End Time': datetime.datetime(2024, 11, 6, 18, 42, 29, 986664)}"
46,GS_pass,AOS,2024-11-06 18:21:52.647502943,41.033353777333716,"{'TCA': '2024-11-06T18:22:13.163817379', 'MAX_EL': 5.051725193276931, 'GS_NAME': 'CLN01', 'Pass_ID': 'CLN0103', 'LOS': '2024-11-06T18:22:33.680856721'}"
47,GS_pass,LOS,2024-11-06 18:22:33.680856721,41.033353777333716,"{'TCA': '2024-11-06T18:22:13.163817379', 'MAX_EL': 5.051725193276931, 'GS_NAME': 'CLN01', 'Pass_ID': 'CLN0103', 'AOS': None}"
48,GS_pass,AOS,2024-11-06 18:37:48.920800535,617.4074527599885,"{'TCA': '2024-11-06T18:42:57.510565501', 'MAX_EL': 87.32953150933443, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT09', 'LOS': '2024-11-06T18:48:06.328253295'}"
49,Eclipse,Exit,2024-11-06 18:42:29.986664000,2079.618765276105,"{'Start Time': datetime.datetime(2024, 11, 6, 18, 7, 50, 367898)}"
50,GS_pass,LOS,2024-11-06 18:48:06.328253295,617.4074527599885,"{'TCA': '2024-11-06T18:42:57.510565501', 'MAX_EL': 87.32953150933443, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT09', 'AOS': None}"
51,Eclipse,Entry,2024-11-06 19:44:15.233248000,2079.606805403376,"{'End Time': datetime.datetime(2024, 11, 6, 20, 18, 54, 840054)}"
52,GS_pass,AOS,2024-11-06 20:13:37.766387381,607.6444952546951,"{'TCA': '2024-11-06T20:18:41.318489006', 'MAX_EL': 50.33770148081809, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT10', 'LOS': '2024-11-06T20:23:45.410882635'}"
